Dataset,ShuffleNet,STNet,EGN,EGGN,HisToGene,ViT-B,ViT-B+?,SEPAL,BLEEP,Hist2ST
10xgenomic_human_brain,2023-12-30-08-39-34,2024-01-03-01-05-08,2023-12-30-04-31-53,2024-01-10-18-00-32,,2024-01-05-01-46-59,2024-01-06-14-09-56,,2024-01-15-15-30-58,
10xgenomic_human_breast_cancer,2023-12-30-09-16-25,2024-01-03-07-33-08,2023-12-30-06-31-14,2024-01-10-18-50-48,,2024-01-05-03-10-12,2024-01-06-16-51-35,,2024-01-12-17-27-32,
10xgenomic_mouse_brain_coronal,2023-12-30-09-51-54,2024-01-03-09-00-25,2023-12-30-08-42-38,2024-01-10-19-16-10,,2024-01-04-22-23-51,2024-01-06-18-11-53,,2024-01-12-20-36-54,
10xgenomic_mouse_brain_sagittal_anterior,2023-12-30-10-17-50,2024-01-03-11-14-29,2023-12-30-09-52-10,2024-01-10-20-02-00,,2024-01-04-22-29-24,2024-01-06-20-20-45,,2024-01-12-22-00-52,
10xgenomic_mouse_brain_sagittal_posterior,2023-12-30-10-50-10,2024-01-03-12-36-15,2023-12-30-11-56-45,2024-01-10-20-21-36,,2024-01-05-05-36-35,2024-01-06-22-31-24,,2024-01-13-00-49-24,
abalo_human_squamous_cell_carcinoma,2023-12-30-11-19-17,2024-01-03-20-14-02,2024-01-03-13-41-28,2024-01-10-21-16-22,,2024-01-05-06-41-31,2024-01-07-00-41-19,,2024-01-13-02-27-08,
erickson_human_prostate_cancer_p1,2023-12-30-12-09-09,2024-01-03-21-13-24,2024-01-02-09-06-58,2024-01-10-21-42-20,,2024-01-05-01-47-52,2024-01-07-01-45-33,,2024-01-13-04-56-27,
erickson_human_prostate_cancer_p2,2023-12-30-15-15-33,2024-01-03-16-43-15,2024-01-02-13-48-57,2024-01-10-22-41-53,,2024-01-05-03-18-12,2024-01-07-04-48-38,,2024-01-13-08-02-04,
fan_mouse_brain_coronal,2023-12-30-16-49-43,2024-01-03-19-16-46,2024-01-02-16-42-57,2024-01-10-23-37-17,,2024-01-05-04-38-11,2024-01-07-08-35-20,,2024-01-13-12-33-01,
fan_mouse_olfatory_bulb,2023-12-30-17-15-58,2024-01-03-21-09-31,2024-01-02-18-03-15,2024-01-11-00-10-38,,2024-01-05-11-50-47,2024-01-07-10-57-00,,2024-01-13-14-56-49,
mirzazadeh_human_colon_p1,2023-12-30-17-31-39,2024-01-04-03-58-12,2024-01-02-19-03-27,2024-01-11-00-37-44,,2024-01-05-13-11-42,2024-01-07-13-06-23,,2024-01-13-15-58-47,
mirzazadeh_human_colon_p2,2023-12-30-18-02-20,2024-01-03-22-09-09,2024-01-02-19-32-31,2024-01-11-01-09-07,,2024-01-05-07-52-19,2024-01-07-14-43-18,,2024-01-13-17-20-05,
mirzazadeh_human_pediatric_brain_tumor_p1,2023-12-30-18-26-04,2024-01-04-05-18-36,2024-01-03-13-42-21,2024-01-11-01-32-19,,2024-01-05-08-53-06,2024-01-07-15-07-59,,2024-01-13-20-09-42,
mirzazadeh_human_pediatric_brain_tumor_p2,2023-12-30-18-51-22,2024-01-04-06-17-04,2024-01-02-20-39-36,2024-01-11-02-28-08,,2024-01-05-09-59-49,2024-01-07-18-15-38,,2024-01-13-21-45-31,
mirzazadeh_human_prostate_cancer,2023-12-30-20-11-42,2024-01-04-06-58-32,2024-01-02-21-59-49,2024-01-11-02-49-56,,2024-01-05-10-55-03,2024-01-07-20-37-34,,2024-01-14-01-19-27,
mirzazadeh_human_small_intestine,2023-12-30-21-05-34,2024-01-04-03-02-02,2024-01-02-22-34-27,2024-01-11-04-02-13,,2024-01-05-18-01-13,2024-01-07-22-31-50,,2024-01-14-02-44-23,
mirzazadeh_mouse_bone,2023-12-30-21-38-50,2024-01-04-09-41-52,2024-01-02-23-06-26,2024-01-11-04-18-56,,2024-01-05-19-05-41,2024-01-07-23-53-31,,2024-01-14-04-53-44,
mirzazadeh_mouse_brain,2023-12-31-02-24-51,2024-01-04-07-29-04,2024-01-03-01-59-21,2024-01-11-06-37-25,,2024-01-05-16-26-54,2024-01-08-07-42-54,,2024-01-14-14-31-51,
mirzazadeh_mouse_brain_p1,2023-12-30-22-33-56,2024-01-04-10-20-34,2024-01-03-00-03-52,2024-01-11-04-57-11,,2024-01-05-14-03-34,2024-01-08-02-46-00,,2024-01-14-07-49-37,
mirzazadeh_mouse_brain_p2,2023-12-30-23-25-54,2024-01-04-05-49-42,2024-01-03-00-52-48,2024-01-11-05-49-29,,2024-01-05-14-51-23,2024-01-08-03-04-19,,2024-01-14-09-52-43,
parigi_mouse_intestine,2023-12-31-03-20-10,2024-01-04-15-20-11,2024-01-03-02-43-57,2024-01-11-07-33-04,,2024-01-05-23-32-44,2024-01-08-09-53-57,,2024-01-14-15-57-53,
vicari_human_striatium,2023-12-31-04-27-40,2024-01-04-10-28-40,2024-01-03-03-50-16,2024-01-11-08-18-52,,2024-01-05-18-43-03,2024-01-08-12-18-37,,2024-01-14-17-32-19,
vicari_mouse_brain,2023-12-31-09-28-12,2024-01-04-12-08-33,2024-01-03-04-46-44,2024-01-11-09-48-31,,2024-01-06-02-03-24,2024-01-08-13-44-04,,2024-01-14-20-29-23,
villacampa_kidney_organoid,2023-12-31-11-05-39,2024-01-04-19-49-50,2024-01-03-07-39-37,2024-01-11-10-07-54,,2024-01-06-04-30-36,2024-01-08-19-44-35,,2024-01-15-01-24-20,
villacampa_lung_organoid,2023-12-31-12-40-22,2024-01-04-21-43-04,2024-01-03-07-59-28,2024-01-11-10-43-17,,2024-01-05-23-13-26,2024-01-08-20-09-33,,2024-01-15-03-52-56,
villacampa_mouse_brain,2023-12-31-13-48-05,2024-01-04-23-02-28,2024-01-03-08-47-43,2024-01-11-11-20-26,,2024-01-06-05-57-31,2024-01-08-21-22-55,,2024-01-15-04-41-43,
