Dataset,shufflenet,stnet,egn,eggn,histogene,vit-b,vit-b+d,sepal,bleep,hist2st,,,
10xgenomic_human_brain,,,,2024-03-15-01-08-13,,,,,,,,,
10xgenomic_human_breast_cancer,,,,2024-03-15-17-20-12,,,,,,,,,
10xgenomic_mouse_brain_coronal,,,,2024-03-16-00-23-40,,,,,,,,,
10xgenomic_mouse_brain_sagittal_anterior,,,,2024-03-16-07-46-34,,,,,,,,,
10xgenomic_mouse_brain_sagittal_posterior,,,,2024-03-16-15-09-29,,,,,,,,,
abalo_human_squamous_cell_carcinoma,,,,2024-03-16-22-35-24,,,,,,,,,
erickson_human_prostate_cancer_p1,,,,2024-03-17-06-23-30,,,,,,,,,
erickson_human_prostate_cancer_p2,,,,2024-03-18-00-28-57,,,,,,,,,
fan_mouse_brain_coronal,,,,2024-03-17-17-18-10,,,,,,,,,
fan_mouse_olfatory_bulb,,,,2024-03-18-02-17-23,,,,,,,,,
mirzazadeh_human_colon_p1,,,,2024-03-18-04-21-58,,,,,,,,,
mirzazadeh_human_colon_p2,,,,2024-03-18-06-22-23,,,,,,,,,
mirzazadeh_human_pediatric_brain_tumor_p1,,,,2024-03-18-17-14-00,,,,,,,,,
mirzazadeh_human_pediatric_brain_tumor_p2,,,,2024-03-19-00-36-27,,,,,,,,,
mirzazadeh_human_prostate_cancer,,,,2024-03-19-07-33-09,,,,,,,,,
mirzazadeh_human_small_intestine,,,,2024-03-19-13-12-32,,,,,,,,,
mirzazadeh_mouse_bone,,,,2024-03-19-15-07-52,,,,,,,,,
mirzazadeh_mouse_brain,,,,2024-03-31-11-34-48,,,,,,,,,
mirzazadeh_mouse_brain_p1,,,,2024-03-30-22-42-54,,,,,,,,,
mirzazadeh_mouse_brain_p2,,,,2024-03-31-05-21-42,,,,,,,,,
parigi_mouse_intestine,,,,2024-03-31-20-21-12,,,,,,,,,
vicari_human_striatium,,,,2024-03-31-23-54-56,,,,,,,,,
vicari_mouse_brain,,,,2024-04-01-06-42-51,,,,,,,,,
villacampa_kidney_organoid,,,,2024-04-01-09-58-48,,,,,,,,,
villacampa_lung_organoid,,,,2024-04-01-10-57-49,,,,,,,,,
villacampa_mouse_brain,,,,2024-04-01-16-04-29,,,,,,,,,
